content_id,client_id,baseline_score,reason_code,impressions_90d,ctr,days_since_last_update,is_declining_label
content_45d9fafd55d9,client_98a3ab7c34,0,no_flag,37,0.0,1,1
content_a08b0718a2ab,client_e29c9c180c,0,no_flag,6,0.0,20,1
content_da4145924178,client_8527a891e2,0,no_flag,6,0.0,104,0
content_0c475d282c97,client_f74efabef1,0,no_flag,43,0.0,8,0
content_9e8fabe8715d,client_6208ef0f77,0,low_ctr_visible_page,17615,0.03,20,1
content_4e3e3238f206,client_e29c9c180c,0,no_flag,5,0.0,20,0
content_9eb8a4636b02,client_7f2253d7e2,0,low_ctr_visible_page,3432,0.06,20,1
content_ccafa91687f5,client_19581e27de,0,no_flag,2769,0.07,22,0
content_d2465b37632a,client_9f14025af0,0,no_flag,8,0.0,20,0
content_1bafacc7af8c,client_6208ef0f77,0,no_flag,13035,0.56,20,0
content_ccbd70e235fe,client_e629fa6598,0,no_flag,7,0.0,20,0
content_f0157541ec12,client_19581e27de,0,no_flag,40,0.0,22,0
content_aad5361ee51c,client_f74efabef1,0,no_flag,409,0.0,20,1
content_3ef20217dd5b,client_19581e27de,0,low_ctr_visible_page,733,0.0,22,0
content_444cb6541fc2,client_8527a891e2,0,no_flag,5,0.0,20,0
content_a2b6c965a726,client_9400f1b21c,0,no_flag,1224,0.08,20,1
content_35304add2b62,client_9f14025af0,0,no_flag,2,0.0,151,0
content_954a68707b9e,client_6208ef0f77,0,no_flag,934,0.32,104,1
content_8a48ce541cf3,client_6208ef0f77,0,no_flag,4490,0.67,104,1
content_cd641f3210bd,client_4e07408562,0,no_flag,17891,0.68,25,0
content_a35e0667eaea,client_d4735e3a26,0,no_flag,5,0.0,20,0
content_9c2a61a45fb8,client_6208ef0f77,0,no_flag,3802,0.5,104,0
content_21d79c60f58d,client_4e07408562,0,no_flag,6714,0.22,25,1
content_20e4b9f7f65e,client_7f2253d7e2,0,no_flag,12992,0.9,20,1
content_0c53cefd8a13,client_4ec9599fc2,0,no_flag,11,0.0,20,0
content_e29514eaf4ce,client_19581e27de,0,no_flag,153,0.0,22,1
content_844f27784a31,client_7f2253d7e2,0,low_ctr_visible_page,624,0.0,20,1
content_78b1c955565a,client_e629fa6598,0,no_flag,117,0.0,104,1
content_60cef562a000,client_8722616204,0,no_flag,189,0.0,8,1
content_51ba4f9ce7e6,client_8527a891e2,0,no_flag,1,0.0,20,0
content_2ae24a5aef3b,client_3fdba35f04,0,no_flag,4527,0.15,20,1
content_bee25efcbf2d,client_19581e27de,0,no_flag,1877,0.32,104,1
content_299ec9fd826c,client_f369cb89fc,0,no_flag,630,1.27,20,1
content_bc9e1b2d2daf,client_19581e27de,0,no_flag,31,0.0,22,1
content_0112007ebe1d,client_6208ef0f77,0,no_flag,7960,0.28,104,0
content_701f3709edf2,client_2c624232cd,0,low_ctr_visible_page,770,0.0,22,0
content_b7bd17e0cf9b,client_19581e27de,0,low_ctr_visible_page,1891,0.05,104,0
content_23bcee6836bd,client_f369cb89fc,0,no_flag,8,0.0,20,1
content_e11aca511c78,client_7f2253d7e2,0,no_flag,3847,1.25,20,1
content_3e8fc08a39a5,client_bbb965ab0c,0,no_flag,1073,0.28,15,0
content_e9d00659d61a,client_2c624232cd,0,no_flag,824,0.12,22,0
content_8830f70c86e3,client_6208ef0f77,0,no_flag,2369,0.3,104,1
content_ad978f71237e,client_19581e27de,0,low_ctr_visible_page,2054,0.05,104,0
content_67eabbf4ef55,client_3fdba35f04,0,no_flag,104,0.96,104,1
content_53519f7cdbab,client_6208ef0f77,0,no_flag,702,0.43,104,0
content_53b239c52474,client_19581e27de,0,no_flag,822,0.12,22,0
content_3335b2a38d5f,client_8527a891e2,0,no_flag,11,0.0,103,1
content_a07e64a2cea4,client_4e07408562,0,no_flag,460,0.43,13,0
content_079b835122e9,client_19581e27de,0,low_ctr_visible_page,13836,0.03,104,1
content_fba37ae0d72e,client_4e07408562,0,no_flag,337,0.0,13,1
content_057c95012543,client_7f2253d7e2,0,no_flag,1008,0.1,20,1
content_1de717df21b3,client_4ec9599fc2,0,no_flag,108,0.0,20,1
content_eaa2fcff3ad0,client_8722616204,0,no_flag,5,0.0,104,0
content_0b6d7bdc5365,client_3fdba35f04,0,no_flag,193,0.0,104,1
content_796dad789cec,client_bbb965ab0c,0,no_flag,1399,0.14,15,1
content_336d0fba6439,client_6208ef0f77,0,low_ctr_visible_page,11181,0.05,104,1
content_6a06cceeb86d,client_8527a891e2,0,no_flag,266,0.38,104,0
content_30c4de0d324d,client_6208ef0f77,0,low_ctr_visible_page,590,0.0,104,1
content_84d42f1eea4f,client_a88a7902cb,0,no_flag,215,0.47,20,1
content_814313c94f86,client_7f2253d7e2,0,no_flag,37506,0.53,20,0
content_906fda4ce6fc,client_3fdba35f04,0,no_flag,668,0.3,104,0
content_53fae7fec5f8,client_6208ef0f77,0,no_flag,15,0.0,104,1
content_3f29e7dc1465,client_3fdba35f04,0,no_flag,75,1.33,104,1
content_0a1954a48717,client_4e07408562,0,no_flag,478,0.0,13,0
content_889a9dc13122,client_19581e27de,0,no_flag,5002,0.28,22,0
content_fbc62b843861,client_9f14025af0,0,no_flag,956,0.63,20,0
content_2af097f4fae4,client_f369cb89fc,0,no_flag,29,3.45,20,1
content_23773486c68e,client_6208ef0f77,0,no_flag,32487,0.35,20,1
content_99bcb3132bb0,client_19581e27de,0,no_flag,3544,0.4,20,1
content_aa5f6a751c86,client_19581e27de,0,low_ctr_visible_page,5748,0.03,22,0
content_c18c914ed20c,client_4e07408562,0,low_ctr_visible_page,10822,0.03,25,0
content_38040c671779,client_19581e27de,0,low_ctr_visible_page,1286,0.0,22,0
content_035aa1e4a834,client_6208ef0f77,0,no_flag,4448,0.16,104,0
content_8958ba0e63fc,client_f369cb89fc,0,no_flag,6281,0.1,20,1
content_3caffc05c7f0,client_4e07408562,0,no_flag,9220,0.08,7,1
content_ae2a2dbcbf04,client_349c41201b,0,no_flag,3948,0.35,20,1
content_18d31e3024fc,client_6208ef0f77,0,low_ctr_visible_page,2290,0.0,104,1
content_0b0ffca83194,client_3fdba35f04,0,no_flag,30,0.0,14,1
content_138497367478,client_7f2253d7e2,0,no_flag,1866,0.27,20,1
content_0c7fbaf6a99d,client_3fdba35f04,0,low_ctr_visible_page,7170,0.06,14,1
content_1e5b3a2ba843,client_19581e27de,0,low_ctr_visible_page,9789,0.03,20,0
content_90271fbcb34b,client_b4944c6ff0,0,no_flag,21171,0.32,20,1
content_c58424242396,client_f74efabef1,0,no_flag,2214,0.36,20,1
content_ecf52e97fa72,client_6208ef0f77,0,no_flag,110665,0.11,104,1
content_ab2d29c2879f,client_19581e27de,0,no_flag,129,0.78,22,1
